1000,128,3.08,0.0158119,1
1000,128,3.134,0.00801164,2
1000,128,3.129,0.0042058,4
1000,128,3.1305,0.00224222,8
1000,128,3.139,0.00266808,16
1000,128,3.13325,0.0118798,32
1000,128,3.13606,0.0210874,64
10000,128,3.1728,0.164611,1
10000,128,3.1316,0.0830584,2
10000,128,3.1433,0.0422804,4
10000,128,3.138,0.0267218,8
10000,128,3.13647,0.0235549,16
10000,128,3.13954,0.0232488,32
10000,128,3.14284,0.028463,64
100000,128,3.14756,1.63227,1
100000,128,3.14366,0.822057,2
100000,128,3.14171,0.417538,4
100000,128,3.13746,0.215617,8
100000,128,3.14082,0.178621,16
100000,128,3.14198,0.143817,32
100000,128,3.14191,0.108616,64
1000000,128,3.14399,16.32,1
1000000,128,3.14277,8.21575,2
1000000,128,3.14191,4.16627,4
1000000,128,3.14059,2.14932,8
1000000,128,3.14152,1.64994,16
1000000,128,3.14154,1.31491,32
1000000,128,3.14171,0.768001,64
10000000,128,3.14145,163.387,1
10000000,128,3.1417,82.4208,2
10000000,128,3.14184,41.8331,4
10000000,128,3.14167,21.643,8
10000000,128,3.1415,12.323,16
10000000,128,3.14182,12.9525,32
10000000,128,3.14153,7.75832,64
100000000,128,3.14155,121.499,16
100000000,128,3.14157,74.0005,32
100000000,128,3.14157,58.95,64
1000000000,128,3.14159,1183.63,16
1000000000,128,3.14159,861.088,32
1000000000,128,3.14159,606.126,64
