1000,128,3.128,0.0157963,1
1000,128,3.148,0.00816775,2
1000,128,3.196,0.00423315,4
1000,128,3.165,0.0022516,8
1000,128,3.14325,0.00271174,16
1000,128,3.13387,0.0120927,32
1000,128,3.146,0.0115644,64
10000,128,3.124,0.164856,1
10000,128,3.1412,0.0832304,2
10000,128,3.1274,0.042414,4
10000,128,3.14005,0.0219415,8
10000,128,3.14463,0.0234695,16
10000,128,3.14449,0.0168602,32
10000,128,3.14064,0.0244493,64
100000,128,3.14552,1.63221,1
100000,128,3.13876,0.82291,2
100000,128,3.13803,0.418721,4
100000,128,3.14161,0.215327,8
100000,128,3.14185,0.133848,16
100000,128,3.14215,0.0839759,32
100000,128,3.1408,0.0809732,64
1000000,128,3.14183,17.0517,1
1000000,128,3.14119,8.69667,2
1000000,128,3.14087,4.491,4
1000000,128,3.14174,2.395,8
1000000,128,3.1417,1.35995,16
1000000,128,3.14143,0.703976,32
1000000,128,3.14144,0.419183,64
10000000,128,3.14303,164.941,1
10000000,128,3.1418,82.5211,2
10000000,128,3.14163,44.8528,4
10000000,128,3.14167,21.7632,8
10000000,128,3.14161,11.5409,16
10000000,128,3.14155,6.48682,32
10000000,128,3.14151,4.4868,64
100000000,128,3.14154,121.623,16
100000000,128,3.14163,64.6736,32
100000000,128,3.14162,39.727,64
1000000000,128,3.14159,1195.58,16
1000000000,128,3.14158,641.599,32
1000000000,128,3.1416,407.263,64
