1000,128,3.052,0.016014,1
1000,128,3.16,0.00811411,2
1000,128,3.131,0.00431636,4
1000,128,3.1265,0.00240544,8
1000,128,3.156,0.00277852,16
1000,128,3.12913,0.0124187,32
1000,128,3.15437,0.0206583,64
10000,128,3.1352,0.166615,1
10000,128,3.1246,0.0841188,2
10000,128,3.1429,0.0437774,4
10000,128,3.13095,0.0250299,8
10000,128,3.14445,0.0236588,16
10000,128,3.14159,0.0269403,32
10000,128,3.14085,0.0247352,64
100000,128,3.1466,1.64547,1
100000,128,3.13892,0.840989,2
100000,128,3.13919,0.425286,4
100000,128,3.14154,0.217613,8
100000,128,3.14084,0.184376,16
100000,128,3.14154,0.124685,32
100000,128,3.14229,0.0695848,64
1000000,128,3.13737,16.4501,1
1000000,128,3.14176,8.29616,2
1000000,128,3.14039,4.19477,4
1000000,128,3.14248,2.16527,8
1000000,128,3.1415,1.16861,16
1000000,128,3.14148,0.97346,32
1000000,128,3.14188,0.56771,64
10000000,128,3.14204,164.413,1
10000000,128,3.14238,82.7831,2
10000000,128,3.14181,42.1796,4
10000000,128,3.14163,21.7593,8
10000000,128,3.14153,11.4611,16
10000000,128,3.1416,6.73318,32
10000000,128,3.14171,4.84052,64
100000000,128,3.14164,114.887,16
100000000,128,3.14161,68.3491,32
100000000,128,3.14158,39.7076,64
1000000000,128,3.1416,1143.16,16
1000000000,128,3.14159,659.488,32
1000000000,128,3.1416,392.139,64
